scenario_id,pair_id,tags,n_disagree,gpt_wrong_n,gemma_wrong_n
mt_expert_001,42,both_models_same_wrong_tasks|gemma_parse_salvage|gemma_partial_output,0,1,1
mt_expert_002,44,both_models_same_wrong_tasks|gemma_parse_salvage|gemma_partial_output,0,1,1
mt_expert_003,58,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,4,1
mt_expert_004,94,both_models_same_wrong_tasks|gemma_parse_salvage|gemma_partial_output,0,1,1
mt_expert_005,410,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|gpt_parse_salvage|high_probability_gap_disagreement|lipid_task_disagreement,4,6,0
mt_expert_006,507,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,2,3,2
mt_expert_007,798,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement,2,0,2
mt_expert_008,933,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,1,1,1
mt_expert_009,956,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,2,1,1
mt_expert_010,1505,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,5,0
mt_expert_011,2347,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,3,1
mt_expert_012,2361,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|gpt_parse_salvage|high_probability_gap_disagreement|lipid_task_disagreement,4,4,0
mt_expert_013,3839,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,3,2
mt_expert_014,4364,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,4,1
mt_expert_015,5346,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,4,1
mt_expert_016,5493,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,4,1
mt_expert_017,5999,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,5,1
mt_expert_018,6864,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,3,2,2
mt_expert_019,7366,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,2,2,0
mt_expert_020,7461,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,1,1,0
mt_expert_021,8261,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,4,3,2
mt_expert_022,8270,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement|lipid_task_disagreement,2,3,2
mt_expert_023,10306,cross_model_disagreement|gemma_parse_salvage|gemma_partial_output|high_probability_gap_disagreement,2,2,1
mt_expert_024,11638,cross_model_disagreement|cross_model_disagreement_high|gemma_parse_salvage|gemma_partial_output|gpt_parse_salvage|high_probability_gap_disagreement|lipid_task_disagreement,4,5,1
